id,team,name,description,sku,barcode,qr_code,category,sub_category,total_quantity,available_quantity,location,status,is_checkoutable,requires_approval,cost,specifications,notes,created_at,updated_at,unit,condition,images,maintenance,purchase_date,warranty_expiry,supplier,tags,max_checkout_duration,created_by,last_modified_by
"ca3a691a-a670-40a0-b74b-da2c9c20e903","","red curtains","red curtains is a photo backdrop or display panel. Stored in box clear box 15 at Lucy Stone Storage Facility.","MSA-0084","MSA-BAR-0084","MSA-QR-ca3a691a-a670-40a0-b74b-da2c9c20e903","BACKDROP","","2","2","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""clear box 15""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"ccbd7cf0-51f9-4557-a0bb-df1c37126f5c","","jenga","jenga is a activity or team-building game. Stored in box 8 at Lucy Stone Storage Facility.","MSA-0085","MSA-BAR-0085","MSA-QR-ccbd7cf0-51f9-4557-a0bb-df1c37126f5c","GAME","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""8""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"1ed3dfec-7001-473a-8f49-9d507319ae08","","monopoly","monopoly is a activity or team-building game. Stored in box 8 at Lucy Stone Storage Facility.","MSA-0086","MSA-BAR-0086","MSA-QR-1ed3dfec-7001-473a-8f49-9d507319ae08","GAME","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""8""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"a865f9c5-83cb-4d20-97fa-7db0cd7b007e","","potato sacks","potato sacks is a activity or team-building game. Stored in box 8 at Lucy Stone Storage Facility.","MSA-0087","MSA-BAR-0087","MSA-QR-a865f9c5-83cb-4d20-97fa-7db0cd7b007e","GAME","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""8""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"8345f165-5714-46fd-ad4a-7d0fddfb356e","","copper wire","copper wire is a maintenance or hardware tool. Stored in box 4 at Lucy Stone Storage Facility.","MSA-0088","MSA-BAR-0088","MSA-QR-8345f165-5714-46fd-ad4a-7d0fddfb356e","TOOLS","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""4""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"635425f9-0ff1-4252-9b88-898aaf444aa4","","ring toss","ring toss is a activity or team-building game. Stored in box 8 at Lucy Stone Storage Facility.","MSA-0089","MSA-BAR-0089","MSA-QR-635425f9-0ff1-4252-9b88-898aaf444aa4","GAME","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""8""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"91f708e8-fcdf-43b2-bb3b-6dbc7791f812","","easel stands","easel stands is a event decor or ambiance accessory. Stored in box 5 at Lucy Stone Storage Facility.","MSA-0090","MSA-BAR-0090","MSA-QR-91f708e8-fcdf-43b2-bb3b-6dbc7791f812","DECOR","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""5""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"4a5d7576-49c1-4656-b833-ad147645f57d","","prayer mats","prayer mats is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0091","MSA-BAR-0091","MSA-QR-4a5d7576-49c1-4656-b833-ad147645f57d","DECOR","","15","15","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"80bffc06-7a75-4c41-a160-4a76c8da58f2","","gold circle arch stand","gold circle arch stand is a event decor or ambiance accessory. Stored in box 5 at Lucy Stone Storage Facility.","MSA-0092","MSA-BAR-0092","MSA-QR-80bffc06-7a75-4c41-a160-4a76c8da58f2","DECOR","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""5""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"8476398c-8b4b-4684-b7e9-266f96bfdb69","","plastic drop cloth/tarp","plastic drop cloth/tarp is a serving or dining utensil. Stored in box 2 at Lucy Stone Storage Facility.","MSA-0093","MSA-BAR-0093","MSA-QR-8476398c-8b4b-4684-b7e9-266f96bfdb69","UTENSILS","","2","2","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""2""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"c75d5615-e04e-4d85-ac7b-80ec74ffc29f","","satin table runners (gold)","satin table runners (gold) is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0094","MSA-BAR-0094","MSA-QR-c75d5615-e04e-4d85-ac7b-80ec74ffc29f","DECOR","","5","5","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"3fd6f6ba-7224-4aaf-bc8f-90b0fa71afda","","satin table runners (purple)","satin table runners (purple) is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0095","MSA-BAR-0095","MSA-QR-3fd6f6ba-7224-4aaf-bc8f-90b0fa71afda","DECOR","","5","5","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"578c762d-88b2-45f8-aaca-702ec85edb68","","satin table runners (teal)","satin table runners (teal) is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0096","MSA-BAR-0096","MSA-QR-578c762d-88b2-45f8-aaca-702ec85edb68","DECOR","","7","7","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"9dd1732a-68e2-49c1-bfb9-c9861e6035cb","","crinkle table runners (white)","crinkle table runners (white) is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0097","MSA-BAR-0097","MSA-QR-9dd1732a-68e2-49c1-bfb9-c9861e6035cb","DECOR","","3","3","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"b399277b-98de-41e7-9ea9-6389b8951f81","","crinkle table runners (pink)","crinkle table runners (pink) is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0098","MSA-BAR-0098","MSA-QR-b399277b-98de-41e7-9ea9-6389b8951f81","DECOR","","2","2","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"79d50e0a-e665-4971-944c-249b583fd6ae","","lavender drape","lavender drape is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0099","MSA-BAR-0099","MSA-QR-79d50e0a-e665-4971-944c-249b583fd6ae","DECOR","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"d051f62b-ff6c-4b1d-ab40-afbfca44c453","","navy table runner","navy table runner is a event decor or ambiance accessory. Stored in box 7 at Lucy Stone Storage Facility.","MSA-0100","MSA-BAR-0100","MSA-QR-d051f62b-ff6c-4b1d-ab40-afbfca44c453","DECOR","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""7""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"716d36ef-f5e6-4e10-b6c6-07fac1bec858","","popcorn bags","popcorn bags is a general-purpose inventory item. Stored in box 2 at Lucy Stone Storage Facility.","MSA-0101","MSA-BAR-0101","MSA-QR-716d36ef-f5e6-4e10-b6c6-07fac1bec858","MISC","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""2""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
"754de5b2-f2e4-4399-820f-5fdf1c8a467b","","treasure chest decor","treasure chest decor is a event decor or ambiance accessory. Stored in box 4 at Lucy Stone Storage Facility.","MSA-0102","MSA-BAR-0102","MSA-QR-754de5b2-f2e4-4399-820f-5fdf1c8a467b","DECOR","","1","1","{""building"":""Lucy Stone Storage Facility"",""room"":""Lucy Stone Storage Facility"",""shelf"":""Lucy Stone Storage Facility"",""bin"":""4""}","active","true","false","{""purchasePrice"":0,""currentValue"":0,""currency"":""USD""}","{}","","2025-11-14T21:59:49.095Z","2025-11-14T21:59:49.095Z","piece","good","[]","{}","","","{}","[]","7","",""
